duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.5,1.2757281346657212,0.01735876635338776,-1.2390954011222781,0.6511471010545373,-0.2237937828763926,0.04306758044492196,0.0037209656078832465,-0.0015489015639841492,-0.1232667656520388,-0.025188639706696263,0.4397204570740958,-0.8658301909518311,1.1499324723150968,-0.8246905064747091,0.2785101853411675,-0.035125236040863816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.8241096138968751,0,0,0,0,0,0,0,-0.026619297604459635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,-0.824109613897118,0.011380004011469342,0.9853454424637824,-0.15009594454355119,-0.1836640442538555,0.10441126536692874,-0.023384811635495998,0.0015489015480336101,-0.026619297597274716,0.1014052992040688,-0.6340436479378548,1.8980128444818682,-2.257482432643815,1.2572249509216833,-0.336181443776016,0.03512523587108187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.2757281346638303,0,0,0,0,0,0,0,-0.12326676565592438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,1.275638568276315,0.017721398266349477,-1.1802022274188824,0.5407499711986546,-0.10005291978705384,-0.038873364461187346,0.030731038255123907,-0.004940902348416087,-0.12586185244781517,0.06827041433270842,-0.006930884224289273,0.9624245469998087,-1.524651173127576,0.9704275275936841,-0.2766192095425997,0.02909425847630643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.8246403168022838,0,0,0,0,0,0,0,0.47474591118516934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,-0.8246403168022762,0.027446446102036254,0.92323270089483,0.04105498024534487,-0.4069911109245165,0.22640122386422715,-0.05573475284224868,0.004940902348427127,0.4747459111851346,0.03493054102261363,-0.7494729130013411,0.29856318115849845,0.5835646314044004,-0.6397608094697463,0.23253031379273512,-0.02909425847630499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.275638568276319,0,0,0,0,0,0,0,-0.1258618524478517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,1.2757281346657212,0.01735876635338776,-1.2390954011222781,0.6511471010545373,-0.2237937828763926,0.04306758044492196,0.0037209656078832465,-0.0015489015639841492,-0.1232667656520388,-0.025188639706696263,0.4397204570740958,-0.8658301909518311,1.1499324723150968,-0.8246905064747091,0.2785101853411675,-0.035125236040863816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.8241096138968751,0,0,0,0,0,0,0,-0.026619297604459635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
