Format Version,1.23,Take Name,Take 2021-05-27 12.30.46 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 12.30.46.845 PM,Total Frames in Take,1092,Total Exported Frames,1092,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.073939,-0.270301,0.039300,-0.959128,-0.437323,0.073485,-0.148390,0.000269,-0.463773,0.076848,-0.139423,0.913213,-0.423761,0.076106,-0.122418,0.937674,-0.416950,0.070788,-0.157742,0.936161,-0.444810,0.070200,-0.173975,0.908033,-0.023838,-0.000164,-0.000574,-0.999716,-0.002646,0.246801,-0.063485,0.000301,-0.007114,0.246919,-0.039933,0.950752,0.024603,0.245653,-0.061611,0.979798,-0.003221,0.246831,-0.085104,0.917133,-0.024851,0.247800,-0.067291,0.934402,-0.464972,0.081195,-0.180668,-0.007097,0.246905,-0.040166,0.024567,0.245667,-0.061549,-0.003443,0.246824,-0.084860,-0.024609,0.247807,-0.067364,-0.463476,0.076669,-0.139518,-0.423744,0.076295,-0.122251,-0.417035,0.070596,-0.157584,-0.445039,0.070382,-0.174206
7,0.058333,0.073594,-0.270234,0.038875,-0.959190,-0.437324,0.073480,-0.148379,0.000274,-0.463776,0.076817,-0.139413,0.910249,-0.423766,0.076086,-0.122403,0.936843,-0.416948,0.070804,-0.157732,0.934301,-0.444805,0.070213,-0.173969,0.906872,-0.023033,-0.000603,-0.000645,-0.999734,-0.002644,0.246825,-0.063477,0.000290,-0.007092,0.246980,-0.039921,0.941532,0.024606,0.245685,-0.061625,0.981741,-0.003238,0.246821,-0.085095,0.917436,-0.024853,0.247815,-0.067265,0.936725,-0.464963,0.081246,-0.180656,-0.007056,0.246972,-0.040126,0.024553,0.245694,-0.061561,-0.003459,0.246822,-0.084859,-0.024615,0.247814,-0.067360,-0.463474,0.076634,-0.139500,-0.423753,0.076283,-0.122226,-0.417034,0.070603,-0.157577,-0.445033,0.070400,-0.174214
8,0.066667,0.074111,-0.270259,0.038817,-0.959146,-0.437327,0.073485,-0.148382,0.000268,-0.463780,0.076820,-0.139416,0.911560,-0.423767,0.076121,-0.122410,0.937762,-0.416951,0.070807,-0.157734,0.936596,-0.444810,0.070190,-0.173967,0.907537,-0.023305,-0.000466,-0.000434,-0.999728,-0.002646,0.246822,-0.063479,0.000298,-0.007100,0.246966,-0.039925,0.947396,0.024603,0.245669,-0.061621,0.976781,-0.003234,0.246830,-0.085098,0.917479,-0.024854,0.247823,-0.067273,0.933814,-0.464967,0.081212,-0.180660,-0.007055,0.246962,-0.040131,0.024547,0.245674,-0.061547,-0.003467,0.246837,-0.084865,-0.024609,0.247816,-0.067375,-0.463484,0.076650,-0.139510,-0.423749,0.076301,-0.122239,-0.417035,0.070628,-0.157576,-0.445040,0.070360,-0.174202
9,0.075000,0.073992,-0.270368,0.038912,-0.959121,-0.437328,0.073490,-0.148381,0.000268,-0.463778,0.076831,-0.139410,0.911153,-0.423762,0.076117,-0.122411,0.933751,-0.416954,0.070809,-0.157738,0.932756,-0.444817,0.070201,-0.173966,0.904421,-0.023353,-0.000467,-0.000742,-0.999727,-0.002644,0.246824,-0.063479,0.000284,-0.007098,0.246963,-0.039925,0.949380,0.024606,0.245687,-0.061621,0.978502,-0.003232,0.246833,-0.085098,0.920233,-0.024852,0.247812,-0.067273,0.937375,-0.464956,0.081239,-0.180668,-0.007055,0.246961,-0.040123,0.024559,0.245689,-0.061549,-0.003456,0.246843,-0.084872,-0.024622,0.247801,-0.067373,-0.463483,0.076649,-0.139490,-0.423746,0.076314,-0.122235,-0.417045,0.070608,-0.157584,-0.445037,0.070387,-0.174217
10,0.083333,0.074006,-0.270387,0.039135,-0.959105,-0.437330,0.073480,-0.148380,0.000267,-0.463778,0.076834,-0.139409,0.911510,-0.423763,0.076106,-0.122411,0.938620,-0.416958,0.070789,-0.157737,0.934562,-0.444821,0.070191,-0.173964,0.905757,-0.023272,-0.000521,-0.000521,-0.999729,-0.002641,0.246827,-0.063477,0.000295,-0.007092,0.246972,-0.039922,0.948496,0.024609,0.245679,-0.061621,0.978423,-0.003231,0.246833,-0.085096,0.917860,-0.024849,0.247824,-0.067268,0.933861,-0.464972,0.081221,-0.180663,-0.007054,0.246973,-0.040125,0.024556,0.245679,-0.061553,-0.003461,0.246846,-0.084861,-0.024604,0.247810,-0.067368,-0.463481,0.076661,-0.139493,-0.423748,0.076290,-0.122249,-0.417040,0.070605,-0.157571,-0.445049,0.070365,-0.174208
11,0.091667,0.073924,-0.270251,0.038889,-0.959160,-0.437325,0.073489,-0.148386,0.000269,-0.463777,0.076828,-0.139421,0.911382,-0.423765,0.076113,-0.122413,0.937697,-0.416949,0.070810,-0.157739,0.936017,-0.444807,0.070204,-0.173973,0.906891,-0.023421,-0.000561,-0.000553,-0.999725,-0.002644,0.246824,-0.063488,0.000278,-0.007094,0.246962,-0.039933,0.950891,0.024606,0.245677,-0.061635,0.981386,-0.003236,0.246837,-0.085107,0.920770,-0.024853,0.247821,-0.067278,0.937898,-0.464974,0.081219,-0.180671,-0.007061,0.246959,-0.040127,0.024562,0.245681,-0.061576,-0.003453,0.246844,-0.084876,-0.024624,0.247813,-0.067375,-0.463481,0.076656,-0.139513,-0.423749,0.076295,-0.122243,-0.417031,0.070627,-0.157579,-0.445038,0.070376,-0.174210
12,0.100000,0.073594,-0.270240,0.038923,-0.959187,-0.437321,0.073478,-0.148388,0.000265,-0.463773,0.076818,-0.139422,0.911501,-0.423763,0.076083,-0.122412,0.937369,-0.416945,0.070800,-0.157740,0.934880,-0.444803,0.070211,-0.173977,0.907542,-0.023339,-0.000490,-0.000664,-0.999727,-0.002649,0.246814,-0.063476,0.000297,-0.007102,0.246954,-0.039922,0.949769,0.024602,0.245673,-0.061619,0.980147,-0.003238,0.246823,-0.085095,0.914526,-0.024857,0.247805,-0.067269,0.931103,-0.464963,0.081214,-0.180682,-0.007067,0.246952,-0.040120,0.024547,0.245676,-0.061561,-0.003470,0.246832,-0.084844,-0.024604,0.247795,-0.067380,-0.463478,0.076642,-0.139510,-0.423748,0.076270,-0.122245,-0.417031,0.070611,-0.157584,-0.445026,0.070389,-0.174212
13,0.108333,0.074072,-0.270260,0.039266,-0.959130,-0.437326,0.073468,-0.148379,0.000259,-0.463776,0.076829,-0.139415,0.913665,-0.423765,0.076096,-0.122406,0.935781,-0.416952,0.070771,-0.157729,0.934153,-0.444810,0.070175,-0.173964,0.907951,-0.023340,-0.000554,-0.000720,-0.999727,-0.002643,0.246820,-0.063474,0.000287,-0.007093,0.246960,-0.039919,0.949906,0.024608,0.245682,-0.061620,0.979969,-0.003234,0.246829,-0.085093,0.918279,-0.024851,0.247808,-0.067264,0.935402,-0.464964,0.081216,-0.180676,-0.007056,0.246951,-0.040116,0.024561,0.245691,-0.061556,-0.003461,0.246829,-0.084857,-0.024614,0.247808,-0.067367,-0.463497,0.076646,-0.139504,-0.423747,0.076292,-0.122240,-0.417030,0.070569,-0.157580,-0.445030,0.070365,-0.174190
14,0.116667,0.073851,-0.270278,0.038792,-0.959162,-0.437330,0.073474,-0.148373,0.000273,-0.463782,0.076807,-0.139405,0.909598,-0.423769,0.076095,-0.122400,0.935812,-0.416954,0.070800,-0.157727,0.933653,-0.444813,0.070193,-0.173960,0.904590,-0.023288,-0.000641,-0.000538,-0.999729,-0.002648,0.246818,-0.063468,0.000291,-0.007093,0.246962,-0.039913,0.947643,0.024603,0.245671,-0.061619,0.979149,-0.003243,0.246825,-0.085087,0.917768,-0.024857,0.247814,-0.067254,0.936049,-0.464957,0.081241,-0.180654,-0.007054,0.246961,-0.040118,0.024555,0.245672,-0.061551,-0.003470,0.246836,-0.084849,-0.024622,0.247802,-0.067355,-0.463482,0.076626,-0.139496,-0.423756,0.076288,-0.122230,-0.417032,0.070603,-0.157567,-0.445048,0.070378,-0.174198
15,0.125000,0.073870,-0.270236,0.038697,-0.959176,-0.437328,0.073468,-0.148385,0.000269,-0.463781,0.076797,-0.139419,0.912124,-0.423770,0.076092,-0.122411,0.934855,-0.416951,0.070799,-0.157737,0.936333,-0.444809,0.070186,-0.173973,0.906281,-0.022988,-0.000456,-0.000524,-0.999736,-0.002643,0.246810,-0.063470,0.000291,-0.007097,0.246968,-0.039916,0.949247,0.024607,0.245663,-0.061611,0.979288,-0.003230,0.246804,-0.085089,0.916248,-0.024850,0.247805,-0.067265,0.934249,-0.464964,0.081215,-0.180677,-0.007055,0.246957,-0.040115,0.024557,0.245674,-0.061546,-0.003460,0.246802,-0.084846,-0.024611,0.247807,-0.067375,-0.463490,0.076620,-0.139506,-0.423757,0.076282,-0.122233,-0.417027,0.070605,-0.157591,-0.445036,0.070366,-0.174210
