duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.5,0.7406068413117356,0.009720377051439699,-0.5739058410925282,0.0633040257588814,-0.2325146084951352,0.21273143231750527,-0.06215661699439687,0.006482933994664189,-0.25097291997327964,-0.5169971957776271,3.8178263997193125,-8.525656543219684,8.425673766028034,-4.1286452850669075,0.9854729826951562,-0.09142262173338732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.3590127051603074,0,0,0,0,0,0,0,-0.1615191403341415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,-1.3590127051476109,-0.0034266295319133238,1.2960495518381723,-0.47331598671106895,0.14479999472146468,-0.13126727052358247,0.05129472933066685,-0.006482934122203126,-0.16151914031784764,-0.130396489213641,0.675120087535034,-0.6591922561748311,-0.7910464152543806,1.3457696395375065,-0.6144228956881578,0.09142262153448788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.7406068413129359,0,0,0,0,0,0,0,-0.2509729199751678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0.7404802532583039,0.017514861989551364,-0.6308987812178826,0.3489459584184638,-0.7353618318776601,0.5729563572285999,-0.17541468315805153,0.01957246078482567,-0.26940482619930695,0.0792978135442072,0.037996827458493795,1.2548978311471897,-2.0923283592278565,1.3584502425904763,-0.39641035963850463,0.04326927215848662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.358640029602077,0,0,0,0,0,0,0,0.33327337314044614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,-1.3586400296020995,-0.018170453749887776,1.2913527094368233,-0.7472352087918853,0.6851555791139503,-0.510621587866197,0.16710338057641094,-0.019572460784828483,0.3332733731404076,-0.02522177484746746,-0.29061556213573975,-0.5137250429208946,1.3877116687151152,-1.0913868188140667,0.3608019031349754,-0.04326927215848504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.7404802532582859,0,0,0,0,0,0,0,-0.26940482619936934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0.7406068413117356,0.009720377051439699,-0.5739058410925282,0.0633040257588814,-0.2325146084951352,0.21273143231750527,-0.06215661699439687,0.006482933994664189,-0.25097291997327964,-0.5169971957776271,3.8178263997193125,-8.525656543219684,8.425673766028034,-4.1286452850669075,0.9854729826951562,-0.09142262173338732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.3590127051603074,0,0,0,0,0,0,0,-0.1615191403341415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
