duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.5,1.132195259095019,0.026126079196962648,-1.1948214893951894,0.9224696759313056,-0.8432233246968113,0.5008217630374165,-0.14109356386778826,0.015346120426634883,-0.6591891612342494,0.07694063518635907,0.3045763944012526,3.044183944552497,-6.161708281315337,4.376972667683998,-1.367317263013754,0.1597764214489292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.966713275001819,0,0,0,0,0,0,0,-0.5487563184475127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,-0.966713275008957,-0.017887802494367656,1.1557528244217716,-0.6808819178521213,0.5819366976854284,-0.3985966058937009,0.12746354239475005,-0.015346120310539712,-0.5487563184621956,-0.3419270942966134,2.4779052493960845,-6.145574352125527,7.742187120331617,-4.837869029357584,1.4287701102558796,-0.15977642123711258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.1321952590994981,0,0,0,0,0,0,0,-0.6591891612278518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,1.1318656566588348,0.025452586338007864,-1.1091396403452987,0.5294459480398594,-0.10523899714392389,-0.0747223920621425,0.05547522286218671,-0.009241563221735622,-0.6583972979446556,0.08090051560986557,0.1460515081843013,4.009073813630488,-8.085237321039939,5.990975727785062,-1.9502898363025758,0.2355674845122097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.9688865880249091,0,0,0,0,0,0,0,-0.04090250124115502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,-0.9688865880248964,0.05346236148182722,0.7924576373344423,0.49203610006624887,-0.8924466414769773,0.45554922198191095,-0.10625213351811864,0.009241563221727868,-0.04090250124133525,-0.5996056610061371,3.4570924265932734,-10.192029976776052,12.78825521551956,-7.654860525473482,2.172141142661117,-0.23556748451222814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.1318656566588428,0,0,0,0,0,0,0,-0.6583972979452032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,1.132195259095019,0.026126079196962648,-1.1948214893951894,0.9224696759313056,-0.8432233246968113,0.5008217630374165,-0.14109356386778826,0.015346120426634883,-0.6591891612342494,0.07694063518635907,0.3045763944012526,3.044183944552497,-6.161708281315337,4.376972667683998,-1.367317263013754,0.1597764214489292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.966713275001819,0,0,0,0,0,0,0,-0.5487563184475127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
