time,ctrlMel.statePos_x,ctrlMel.statePos_y,ctrlMel.statePos_z,ctrlMel.setpointPos_x,ctrlMel.setpointPos_y,ctrlMel.setpointPos_z,ctrlMel.log_data,
14.143,0.235344,-0.145646,0.0340005,0,0,0,0,
14.153,0.235346,-0.145573,0.0340006,0,0,0,0,
14.163,0.235344,-0.145532,0.0340004,0,0,0,0,
14.173,0.235527,-0.145778,0.0340012,0,0,0,0,
14.183,0.235301,-0.145696,0.0340013,0,0,0,0,
14.193,0.235321,-0.145593,0.0340017,0,0,0,0,
14.203,0.235346,-0.145561,0.0340023,0,0,0,0,
14.214,0.235523,-0.145783,0.0340048,0,0,0,0,
14.233,0.235317,-0.146101,0.0340034,0,0,0,0,
14.243,0.235324,-0.145789,0.034003,0,0,0,0,
14.253,0.235541,-0.146454,0.0340038,0,0,0,0,
14.273,0.235313,-0.146172,0.0340019,0,0,0,0,
14.283,0.235319,-0.145817,0.0340017,0,0,0,0,
14.293,0.23532,-0.146151,0.0340014,0,0,0,0,
14.303,0.235493,-0.146066,0.0340005,0,0,0,0,
14.314,0.235576,-0.146011,0.0339982,0,0,0,0,
14.324,0.235615,-0.146509,0.0339956,0,0,0,0,
14.333,0.235307,-0.145854,0.033997,0,0,0,0,
14.343,0.23531,-0.145651,0.0339964,0,0,0,0,
14.353,0.23531,-0.146062,0.0339958,0,0,0,0,
14.364,0.23548,-0.146007,0.0339929,0,0,0,0,
14.373,0.235563,-0.146494,0.033992,0,0,0,0,
14.383,0.235295,-0.146103,0.0339958,0,0,0,0,
14.393,0.235302,-0.145773,0.0339953,0,0,0,0,
14.404,0.235473,-0.145849,0.0339929,0,0,0,0,
14.413,0.235557,-0.146404,0.0339928,0,0,0,0,
14.423,0.235292,-0.146333,0.0339972,0,0,0,0,
14.443,0.235303,-0.145653,0.0339984,0,0,0,0,
14.453,0.235469,-0.145768,0.0339978,0,0,0,0,
14.463,0.235552,-0.145822,0.0339975,0,0,0,0,
14.473,0.23529,-0.145414,0.0339986,0,0,0,0,
14.483,0.235298,-0.145932,0.0339987,0,0,0,0,
14.493,0.235302,-0.146192,0.0339995,0,0,0,0,
14.503,0.235469,-0.146051,0.034002,0,0,0,0,
14.513,0.235554,-0.146496,0.0340051,0,0,0,0,
14.523,0.235596,-0.146719,0.0340068,0,0,0,0,
14.533,0.235301,-0.146147,0.0340031,0,0,0,0,
14.543,0.235305,-0.145786,0.0340022,0,0,0,0,
14.553,0.235306,-0.146116,0.0340016,0,0,0,0,
14.563,0.235471,-0.146006,0.0340026,0,0,0,0,
14.573,0.235552,-0.145939,0.0340039,0,0,0,0,
14.583,0.23529,-0.145699,0.0340021,0,0,0,0,
14.593,0.235298,-0.146073,0.0340023,0,0,0,0,
14.603,0.235467,-0.146499,0.0340049,0,0,0,0,
14.613,0.23555,-0.146191,0.0340077,0,0,0,0,
14.623,0.23559,-0.146561,0.0340106,0,0,0,0,
